,N. parvum,X. sp.,descriptions
PF00018,16,14,SH3 domain
PF03114,4,3,BAR domain
PF07653,15,13,Variant SH3 domain
PF14604,12,10,Variant SH3 domain
PF00023,37,92,Ankyrin repeat
PF12796,39,101,Ankyrin repeats (3 copies)
PF14420,5,16,Clr5 domain
PF14269,6,3,Arylsulfotransferase (ASST)
PF00400,81,74,"WD domain, G-beta repeat"
PF16300,1,0,Type of WD40 repeat
PF07745,2,1,Glycosyl hydrolase family 53
PF03443,12,17,Auxiliary Activity family 9 (formerly GH61)
PF00646,18,19,F-box domain
PF12937,25,21,F-box-like
PF00153,30,34,Mitochondrial carrier protein
PF01722,3,3,BolA-like protein
PF03370,1,1,Carbohydrate/starch-binding module (family 21)
PF16760,1,1,Starch/carbohydrate-binding module (family 53)
PF00097,24,21,"Zinc finger, C3HC4 type (RING finger)"
PF13445,12,12,RING-type zinc-finger
PF01425,17,14,Amidase
PF04140,1,2,Isoprenylcysteine carboxyl methyltransferase (ICMT) family
PF04191,3,4,Phospholipid methyltransferase
PF00132,4,5,Bacterial transferase hexapeptide (six repeats)
PF12464,2,2,Maltose acetyltransferase
PF14602,1,3,Hexapeptide repeat of succinyl-transferase
PF01553,6,2,Acyltransferase
PF15906,1,0,Zinc-finger of nitric oxide synthase-interacting protein
PF00808,7,6,Histone-like transcription factor (CBF/NF-Y) and archaeal histone
PF01223,1,1,DNA/RNA non-specific endonuclease
PF02953,4,4,Tim10/DDP family zinc finger
PF03388,2,1,Legume-like lectin family
PF18483,1,0,Bacterial lectin
PF08313,1,1,"SCA7, zinc-binding domain"
PF02791,1,1,DDT domain
PF10537,1,1,ATP-utilising chromatin assembly and remodelling N-terminal
PF15613,1,1,"Williams-Beuren syndrome DDT (WSD), D-TOX E motif"
PF03155,1,1,"ALG6, ALG8 glycosyltransferase family"
PF00076,53,47,"RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)"
PF10378,1,1,Putative RRM domain
PF00270,40,41,DEAD/DEAH box helicase
PF00271,61,61,Helicase conserved C-terminal domain
PF00169,12,7,PH domain
PF08174,1,0,Cell division protein anillin
PF00856,12,16,SET domain
PF00238,2,2,Ribosomal protein L14p/L23e
PF02150,1,2,RNA polymerases M/15 Kd subunit
PF00397,8,6,WW domain
PF00639,2,1,PPIC-type PPIASE domain
PF13616,2,1,PPIC-type PPIASE domain
PF00443,15,11,Ubiquitin carboxyl-terminal hydrolase
PF12030,1,0,Domain of unknown function (DUF3517)
PF13423,8,6,Ubiquitin carboxyl-terminal hydrolase
PF08491,1,0,Squalene epoxidase
PF00293,11,15,NUDIX domain
PF00117,8,7,Glutamine amidotransferase class-I
PF06418,1,0,CTP synthase N-terminus
PF01416,2,2,tRNA pseudouridine synthase
PF02002,1,2,TFIIE alpha subunit
PF08492,1,1,SRP72 RNA-binding domain
PF17004,1,1,Putative TPR-like repeat
PF01679,3,0,Proteolipid membrane potential modulator
PF10350,1,0,"THADA/TRM732, DUF2428"
PF02466,5,3,Tim17/Tim22/Tim23/Pmp24 family
PF12799,1,4,Leucine Rich repeats (2 copies)
PF13855,7,5,Leucine rich repeat
PF03031,4,4,NLI interacting factor-like phosphatase
PF00920,2,4,Dehydratase family
PF00225,9,12,Kinesin motor domain
PF16796,8,9,Microtubule binding
PF07081,1,1,Protein of unknown function (DUF1349)
PF00561,23,22,alpha/beta hydrolase fold
PF06179,1,1,Surfeit locus protein 5 subunit 22 of Mediator complex
PF01873,2,2,Domain found in IF2B/IF5
PF02020,2,2,eIF4-gamma/eIF5/eIF2-epsilon
PF01266,26,18,FAD dependent oxidoreductase
PF13241,3,1,Putative NAD(P)-binding
PF00702,24,22,haloacid dehalogenase-like hydrolase
PF13246,11,11,Cation transport ATPase (P-type)
PF16209,4,2,Phospholipid-translocating ATPase N-terminal
PF16212,4,2,Phospholipid-translocating P-type ATPase C-terminal
PF11788,1,0,39S mitochondrial ribosomal protein L46
PF10394,1,1,Histone acetyl transferase HAT1 N-terminus
PF00676,3,2,Dehydrogenase E1 component
PF02110,1,1,Hydroxyethylthiazole kinase family
PF02581,1,1,Thiamine monophosphate synthase
PF10190,1,0,Putative transmembrane protein 170
PF00246,2,4,Zinc carboxypeptidase
PF01369,4,4,Sec7 domain
PF00241,5,5,Cofilin/tropomyosin-type actin-binding protein
PF00175,7,14,Oxidoreductase NAD-binding domain
PF00258,7,4,Flavodoxin
PF00667,5,5,FAD binding domain
PF00009,18,10,Elongation factor Tu GTP binding domain
PF03144,10,6,Elongation factor Tu domain 2
PF14492,5,3,"Elongation Factor G, domain III"
PF00787,11,12,PX domain
PF09325,3,3,Vps5 C terminal like
PF11735,2,0,Cryptococcal mannosyltransferase 1
PF06027,1,1,Solute carrier family 35
PF04802,1,1,Phosphatase 4 regulatory subunit 3
PF02668,13,10,"Taurine catabolism dioxygenase TauD, TfdA family"
PF07519,7,8,Tannase and feruloyl esterase
PF08881,2,3,CVNH domain
PF01822,6,7,WSC domain
PF00899,8,9,ThiF family
PF10391,2,2,Fingers domain of DNA polymerase lambda
PF14716,2,2,Helix-hairpin-helix domain
PF14792,2,2,DNA polymerase beta palm
PF11927,4,2,Protein of unknown function (DUF3445)
PF00107,63,61,Zinc-binding dehydrogenase
PF01398,7,7,JAB1/Mov34/MPN/PAD-1 ubiquitin protease
PF13012,4,4,Maintenance of mitochondrial structure and function
PF08240,52,39,Alcohol dehydrogenase GroES-like domain
PF12146,12,10,"Serine aminopeptidase, S33"
PF12697,49,46,Alpha/beta hydrolase family
PF04696,1,0,pinin/SDK/memA/ protein conserved region
PF03660,1,0,PHF5-like protein
PF05277,3,3,Protein of unknown function (DUF726)
PF06337,1,0,DUSP domain
PF10253,1,0,"Mitotic checkpoint regulator, MAD2B-interacting"
PF16978,1,0,"SAPK-interacting protein 1 (Sin1), middle CRIM domain"
PF16979,1,0,"SAPK-interacting protein 1 (Sin1), Pleckstrin-homology"
PF00118,9,9,TCP-1/cpn60 chaperonin family
PF12814,2,0,Meiotic cell cortex C-terminal pleckstrin homology
PF19086,6,8,"Terpene synthase family 2, C-terminal metal binding"
PF00642,8,4,Zinc finger C-x8-C-x5-C-x3-H type (and similar)
PF13920,11,8,"Zinc finger, C3HC4 type (RING finger)"
PF13923,12,11,"Zinc finger, C3HC4 type (RING finger)"
PF14634,3,5,zinc-RING finger domain
PF01966,2,1,HD domain
PF07470,3,3,Glycosyl Hydrolase Family 88
PF07690,272,170,Major Facilitator Superfamily
PF00656,5,3,Caspase domain
PF20237,8,5,Family of unknown function (DUF6594)
PF00654,2,2,Voltage gated chloride channel
PF00657,9,8,GDSL-like Lipase/Acylhydrolase
PF04857,1,0,CAF1 family ribonuclease
PF03911,1,0,Sec61beta family
PF00933,16,13,Glycosyl hydrolase family 3 N terminal domain
PF01915,15,13,Glycosyl hydrolase family 3 C-terminal domain
PF14310,13,12,Fibronectin type III-like domain
PF05007,1,1,Mannosyltransferase (PIG-M)
PF06728,2,2,GPI transamidase subunit PIG-U
PF01997,2,2,Translin family
PF01613,2,2,Flavin reductase like domain
PF00025,23,24,ADP-ribosylation factor family
PF08477,25,28,"Ras of Complex, Roc, domain of DAPkinase"
PF06609,14,5,Fungal trichothecene efflux pump (TRI12)
PF01926,32,29,50S ribosome-binding GTPase
PF01156,3,4,Inosine-uridine preferring nucleoside hydrolase
PF05577,3,2,Serine carboxypeptidase S28
PF00891,10,26,O-methyltransferase domain
PF00441,11,11,"Acyl-CoA dehydrogenase, C-terminal domain"
PF02771,11,7,"Acyl-CoA dehydrogenase, N-terminal domain"
PF00296,3,2,Luciferase-like monooxygenase
PF09792,5,5,Ubiquitin 3 binding protein But2 C-terminal domain
PF00150,15,11,Cellulase (glycosyl hydrolase family 5)
PF01168,3,2,"Alanine racemase, N-terminal domain"
PF14031,2,1,Putative serine dehydratase domain
PF01717,2,4,"Cobalamin-independent synthase, Catalytic domain"
PF08267,1,1,"Cobalamin-independent synthase, N-terminal domain"
PF00651,22,10,BTB/POZ domain
PF11885,4,4,Protein of unknown function (DUF3405)
PF00190,5,3,Cupin
PF07883,10,7,Cupin domain
PF13854,12,6,Kelch motif
PF08512,2,2,Histone chaperone Rttp106-like
PF17132,2,1,alpha-L-rhamnosidase
PF08216,1,0,"Catenin-beta-like, Arm-motif containing nuclear"
PF00240,4,4,Ubiquitin family
PF00627,5,3,UBA/TS-N domain
PF11976,3,2,Ubiquitin-2 like Rad60 SUMO-like
PF13602,29,41,Zinc-binding dehydrogenase
PF00562,3,3,"RNA polymerase Rpb2, domain 6"
PF04560,3,3,"RNA polymerase Rpb2, domain 7"
PF04561,3,3,"RNA polymerase Rpb2, domain 2"
PF04563,3,3,RNA polymerase beta subunit
PF04565,3,3,"RNA polymerase Rpb2, domain 3"
PF04566,2,2,"RNA polymerase Rpb2, domain 4"
PF04567,2,2,"RNA polymerase Rpb2, domain 5"
PF00160,10,8,Cyclophilin type peptidyl-prolyl cis-trans isomerase/CLD
PF01344,5,6,Kelch motif
PF13415,8,7,"Galactose oxidase, central domain"
PF13418,5,9,"Galactose oxidase, central domain"
PF13964,3,3,Kelch motif
PF02144,1,3,Repair protein Rad1/Rec1/Rad17
PF03403,1,1,"Platelet-activating factor acetylhydrolase, isoform II"
PF08534,7,6,Redoxin
PF00070,14,13,Pyridine nucleotide-disulphide oxidoreductase
PF00355,3,8,Rieske [2Fe-2S] domain
PF14759,1,1,Reductase C-terminal
PF01055,6,3,Glycosyl hydrolases family 31
PF16863,2,3,"N-terminal barrel of NtMGAM and CtMGAM, maltase-glucoamylase"
PF00815,2,1,Histidinol dehydrogenase
PF01502,1,1,Phosphoribosyl-AMP cyclohydrolase
PF01503,1,1,Phosphoribosyl-ATP pyrophosphohydrolase
PF10383,2,1,Transcription-silencing protein Clr2
PF00331,3,1,Glycosyl hydrolase family 10
PF04117,6,5,Mpv17 / PMP22 family
PF02582,3,3,"RMND1/Sif2-Sif3/Mrx10, DUF155"
PF00615,4,4,Regulator of G protein signaling domain
PF00587,6,5,"tRNA synthetase class II core domain (G, H, P, S and T)"
PF03129,6,6,Anticodon binding domain
PF00072,15,12,Response regulator receiver domain
PF00512,12,9,His Kinase A (phospho-acceptor) domain
PF00989,4,1,PAS fold
PF02518,20,14,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase"
PF08448,4,1,PAS fold
PF13188,2,0,PAS domain
PF06218,1,1,Nitrogen permease regulator 2
PF05529,1,1,Bap31/Bap29 transmembrane region
PF18035,1,1,Bap31/Bap29 cytoplasmic coiled-coil domain
PF10198,1,1,Histone acetyltransferases subunit 3
PF08238,6,5,Sel1 repeat
PF02037,4,3,SAP domain
PF02893,2,1,GRAM domain
PF16016,2,1,VAD1 Analog of StAR-related lipid transfer domain
PF00988,2,0,"Carbamoyl-phosphate synthase small chain, CPSase domain"
PF02178,1,1,AT hook motif
PF00092,4,4,von Willebrand factor type A domain
PF13519,5,5,von Willebrand factor type A domain
PF15411,2,3,Pleckstrin homology domain
PF01012,2,1,Electron transfer flavoprotein domain
PF01412,4,3,Putative GTPase activating protein for Arf
PF13637,32,92,Ankyrin repeats (many copies)
PF00583,24,27,Acetyltransferase (GNAT) family
PF08445,9,7,FR47-like protein
PF13508,12,16,Acetyltransferase (GNAT) domain
PF13673,9,10,Acetyltransferase (GNAT) domain
PF07541,1,0,Eukaryotic translation initiation factor 2 alpha subunit
PF00295,9,4,Glycosyl hydrolases family 28
PF14543,5,5,Xylanase inhibitor N-terminal
PF03404,3,2,Mo-co oxidoreductase dimerisation domain
PF00098,5,5,Zinc knuckle
PF01182,2,2,Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
PF13468,1,0,Glyoxalase-like domain
PF11913,5,0,Protein of unknown function (DUF3431)
PF10513,2,1,Enhancer of polycomb-like
PF04193,7,4,PQ loop repeat
PF13921,10,7,Myb-like DNA-binding domain
PF04828,10,9,Glutathione-dependent formaldehyde-activating enzyme
PF01625,1,1,Peptide methionine sulfoxide reductase
PF14464,2,1,Prokaryotic homologs of the JAB domain
PF00850,5,5,Histone deacetylase domain
PF00389,10,8,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain"
PF02826,12,11,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain"
PF01409,1,1,tRNA synthetases class II core domain (F)
PF18553,1,1,PheRS DNA binding domain 3
PF01244,3,2,Membrane dipeptidase (Peptidase family M19)
PF00245,2,1,Alkaline phosphatase
PF05158,1,1,RNA polymerase Rpc34 subunit
PF02133,10,6,"Permease for cytosine/purines, uracil, thiamine, allantoin"
PF08518,1,1,Spa2 homology domain (SHD) of GIT
PF12205,1,0,G protein-coupled receptor kinase-interacting protein 1 C term
PF00027,4,3,Cyclic nucleotide-binding domain
PF16643,1,1,Unstructured region on cNMP-binding protein
PF08031,17,20,Berberine and berberine like
PF00501,51,37,AMP-binding enzyme
PF13193,23,8,AMP-binding enzyme C-terminal domain
PF00394,14,8,Multicopper oxidase
PF07731,13,9,Multicopper oxidase
PF07732,13,6,Multicopper oxidase
PF06371,2,2,Diaphanous GTPase-binding Domain
PF01171,2,2,PP-loop family
PF16503,1,1,Zinc-ribbon
PF12689,1,1,Acid Phosphatase
PF03211,6,1,Pectate lyase
PF00144,8,10,Beta-lactamase
PF00232,5,1,Glycosyl hydrolase family 1
PF00582,2,1,Universal stress protein family
PF00578,7,6,AhpC/TSA family
PF00795,9,6,Carbon-nitrogen hydrolase
PF01231,1,4,"Indoleamine 2,3-dioxygenase"
PF00266,5,4,Aminotransferase class-V
PF01494,43,35,FAD binding domain
PF01593,9,13,Flavin containing amine oxidoreductase
PF15469,1,0,Exocyst complex component Sec5
PF00180,4,3,Isocitrate/isopropylmalate dehydrogenase
PF13092,1,1,Kinetochore complex Sim4 subunit Fta1
PF01636,13,34,Phosphotransferase enzyme family
PF07287,3,2,Acyclic terpene utilisation family protein AtuA
PF00412,3,2,LIM domain
PF00620,8,7,RhoGAP domain
PF12348,1,1,CLASP N terminal
PF04450,1,1,Peptidase of plants and bacteria
PF13419,9,7,Haloacid dehalogenase-like hydrolase
PF00013,7,8,KH domain
PF04616,12,13,Glycosyl hydrolases family 43
PF00004,51,55,ATPase family associated with various cellular activities (AAA)
PF10310,1,1,Family of unknown function (DUF5427)
PF09495,1,1,Protein of unknown function (DUF2462)
PF15979,1,2,Glycosyl hydrolase family 115
PF17829,1,2,Gylcosyl hydrolase family 115 C-terminal domain
PF01619,4,1,Proline dehydrogenase
PF01417,3,2,ENTH domain
PF01053,6,6,Cys/Met metabolism PLP-dependent enzyme
PF00168,6,9,C2 domain
PF00156,6,5,Phosphoribosyl transferase domain
PF01042,6,6,Endoribonuclease L-PSP
PF00515,3,4,Tetratricopeptide repeat
PF13176,7,10,Tetratricopeptide repeat
PF13181,15,19,Tetratricopeptide repeat
PF13424,7,14,Tetratricopeptide repeat
PF13432,10,12,Tetratricopeptide repeat
PF17830,1,1,STI1 domain
PF03810,6,9,Importin-beta N-terminal domain
PF01704,2,3,UTP--glucose-1-phosphate uridylyltransferase
PF00393,2,1,"6-phosphogluconate dehydrogenase, C-terminal domain"
PF04757,3,3,Pex2 / Pex12 amino terminal region
PF02225,6,7,PA domain
PF04253,4,2,Transferrin receptor-like dimerisation domain
PF04389,10,13,Peptidase family M28
PF03328,5,2,HpcH/HpaI aldolase/citrate lyase family
PF13452,4,1,N-terminal half of MaoC dehydratase
PF02770,10,10,"Acyl-CoA dehydrogenase, middle domain"
PF08028,11,8,"Acyl-CoA dehydrogenase, C-terminal domain"
PF02515,5,5,CoA-transferase family III
PF14033,1,1,Protein of unknown function (DUF4246)
PF00753,12,6,Metallo-beta-lactamase superfamily
PF05899,2,0,EutQ-like cupin domain
PF04299,2,0,Putative FMN-binding domain
PF00664,21,16,ABC transporter transmembrane region
PF00722,17,12,Glycosyl hydrolases family 16
PF00385,5,4,Chromo (CHRromatin Organisation MOdifier) domain
PF01393,1,1,Chromo shadow domain
PF08550,4,3,Fungal protein of unknown function (DUF1752)
PF11702,1,1,Protein of unknown function (DUF3295)
PF11905,4,5,Domain of unknown function (DUF3425)
PF06657,1,1,Centrosome microtubule-binding domain of Cep57
PF14197,1,1,Centrosome localisation domain of PPC89
PF06516,1,1,Purine nucleoside permease (NUP)
PF01083,5,7,Cutinase
PF10165,1,1,Guanine nucleotide exchange factor synembryn
PF12231,1,1,Rap1-interacting factor 1 N terminal
PF01263,3,4,Aldose 1-epimerase
PF03067,1,1,"Lytic polysaccharide mono-oxygenase, cellulose-degrading"
PF03635,1,1,Vacuolar protein sorting-associated protein 35
PF00725,3,1,"3-hydroxyacyl-CoA dehydrogenase, C-terminal domain"
PF02737,3,1,"3-hydroxyacyl-CoA dehydrogenase, NAD binding domain"
PF04821,1,1,Timeless protein
PF00797,2,0,N-acetyltransferase
PF04080,1,1,Per1-like family
PF13516,4,2,Leucine Rich repeat
PF11705,1,0,DNA-directed RNA polymerase III subunit Rpc31
PF02469,2,2,Fasciclin domain
PF01545,8,4,Cation efflux family
PF15159,1,1,Phosphatidylinositol N-acetylglucosaminyltransferase subunit Y
PF13668,3,2,Ferritin-like domain
PF08637,1,1,ATP synthase regulation protein NCA2
PF00566,11,11,Rab-GTPase-TBC domain
PF00179,21,15,Ubiquitin-conjugating enzyme
PF00235,1,0,Profilin
PF14479,4,4,Prion-inhibition and propagation
PF01575,5,5,MaoC like domain
PF00433,4,3,Protein kinase C terminal domain
PF14531,2,3,Kinase-like
PF08624,2,0,Chromatin remodelling complex Rsc7/Swp82 subunit
PF00327,1,2,Ribosomal protein L30p/L7e
PF08079,1,1,Ribosomal L30 N-terminal domain
PF04157,2,3,EAP30/Vps36 family
PF01399,12,11,PCI domain
PF04851,26,31,"Type III restriction enzyme, res subunit"
PF04427,5,3,Brix domain
PF09649,2,1,Histone chaperone domain CHZ
PF00645,1,1,Poly(ADP-ribose) polymerase and DNA-Ligase Zn-finger region
PF13242,7,5,HAD-hyrolase-like
PF01805,2,2,Surp module
PF02259,3,4,FAT domain
PF02260,4,4,FATC domain
PF08771,1,1,FKBP12-rapamycin binding domain
PF11865,1,1,Domain of unknown function (DUF3385)
PF05837,1,1,Centromere protein H (CENP-H)
PF04108,2,2,Autophagy protein ATG17-like domain
PF10377,1,1,Autophagy-related protein 11
PF20492,1,0,"Ezrin/radixin/moesin, alpha-helical domain"
PF10544,3,1,T5orf172 domain
PF02005,1,0,"N2,N2-dimethylguanosine tRNA methyltransferase"
PF05730,5,6,CFEM domain
PF00173,17,22,Cytochrome b5-like Heme/Steroid binding domain
PF01070,10,7,FMN-dependent dehydrogenase
PF00370,2,2,"FGGY family of carbohydrate kinases, N-terminal domain"
PF02782,2,3,"FGGY family of carbohydrate kinases, C-terminal domain"
PF06420,1,1,Mitochondrial genome maintenance MGM101
PF03134,2,2,"TB2/DP1, HVA22 family"
PF05742,1,1,Transport and Golgi organisation 2
PF00717,1,1,Peptidase S24-like
PF09295,1,1,ChAPs (Chs5p-Arf1p-binding proteins)
PF00677,1,1,Lumazine binding domain
PF00382,2,1,Transcription factor TFIIB repeat
PF07741,1,1,Brf1-like TBP-binding domain
PF01602,8,9,Adaptin N terminal region
PF02296,1,1,"Alpha adaptin AP2, C-terminal domain"
PF02883,3,2,Adaptin C-terminal domain
PF01979,13,9,Amidohydrolase family
PF05224,2,3,NDT80 / PhoG like DNA-binding  family
PF00349,4,3,Hexokinase
PF03727,5,3,Hexokinase
PF01699,6,7,Sodium/calcium exchanger protein
PF13639,20,17,Ring finger domain
PF03357,6,6,Snf7
PF01226,2,0,Formate/nitrite transporter
PF07574,1,0,Nse1 non-SMC component of SMC5-6 complex
PF12709,1,1,Fungal Transforming acidic coiled-coil (TACC) proteins
PF09791,1,0,"Oxidoreductase-like protein, N-terminal"
PF08285,1,0,Dolichol-phosphate mannosyltransferase subunit 3 (DPM3)
PF03733,1,1,Inner membrane component domain
PF07724,6,6,AAA domain (Cdc48 subfamily)
PF16450,5,5,Proteasomal ATPase OB C-terminal domain
PF17862,14,13,AAA+ lid domain
PF00102,2,1,Protein-tyrosine phosphatase
PF00447,4,3,HSF-type DNA-binding
PF02779,5,3,"Transketolase, pyrimidine binding domain"
PF02780,3,3,"Transketolase, C-terminal domain"
PF02353,6,1,Mycolic acid cyclopropane synthetase
PF08498,2,0,Sterol methyltransferase C-terminal
PF10058,1,1,Predicted integral membrane zinc-ribbon metal-binding protein
PF10281,1,1,Putative nuclear envelope organisation protein
PF06398,1,2,Integral peroxisomal membrane peroxin
PF03656,1,1,Pam16
PF01909,1,1,Nucleotidyltransferase domain
PF03828,3,2,Cid1 family poly A polymerase
PF04547,2,1,Calcium-activated chloride channel
PF12706,3,2,Beta-lactamase superfamily domain
PF13483,2,1,Beta-lactamase superfamily domain
PF04097,1,1,Nup93/Nic96
PF04199,6,2,Putative cyclase
PF20463,1,0,"Prephenate dehydrogenase, dimerization domain"
PF00411,2,2,Ribosomal protein S11
PF05282,1,1,AAR2 protein
PF00487,8,4,Fatty acid desaturase
PF00328,8,4,Histidine phosphatase superfamily (branch 2)
PF18086,1,1,Diphosphoinositol pentakisphosphate kinase 2 N-terminal domain
PF04192,1,1,Utp21 specific WD40 associated putative domain
PF12894,8,9,Anaphase-promoting complex subunit 4 WD40 domain
PF00415,3,4,Regulator of chromosome condensation (RCC1) repeat
PF13540,4,4,Regulator of chromosome condensation (RCC1) repeat
PF01212,2,5,Beta-eliminating lyase
PF02347,1,1,Glycine cleavage system P-protein
PF00108,5,4,"Thiolase, N-terminal domain"
PF02803,5,4,"Thiolase, C-terminal domain"
PF11595,1,0,Protein of unknown function (DUF3245)
PF00549,4,3,CoA-ligase
PF08442,2,1,ATP-grasp domain
PF13549,1,1,ATP-grasp domain
PF04366,2,1,Las17-binding protein actin regulator
PF00289,5,3,"Biotin carboxylase, N-terminal domain"
PF00364,8,3,Biotin-requiring enzyme
PF02785,4,3,Biotin carboxylase C-terminal domain
PF02786,7,6,"Carbamoyl-phosphate synthase L chain, ATP binding domain"
PF07478,7,6,D-ala D-ala ligase C-terminus
PF00450,7,5,Serine carboxypeptidase
PF00632,4,4,HECT-domain (ubiquitin-transferase)
PF01467,3,2,Cytidylyltransferase-like
PF09736,1,1,Pre-mRNA-splicing factor of RES complex
PF00884,14,5,Sulfatase
PF11915,8,10,Protein of unknown function (DUF3433)
PF18271,3,4,Glycoside hydrolase 131 catalytic N-terminal domain
PF10501,1,1,Ribosomal subunit 39S
PF01648,5,2,4'-phosphopantetheinyl transferase superfamily
PF18314,4,2,Fatty acid synthase type I helical domain
PF18325,4,2,Fatty acid synthase subunit alpha Acyl carrier domain
PF08354,3,2,Domain of unknown function (DUF1729)
PF17828,2,1,N-terminal domain in fatty acid synthase subunit beta
PF17951,3,2,Fatty acid synthase meander beta sheet domain
PF10104,1,0,Di-sulfide bridge nucleocytoplasmic transport domain
PF17866,1,1,AAA lid domain
PF13086,4,4,AAA domain
PF13087,5,6,AAA domain
PF13245,5,4,AAA domain
PF00022,9,9,Actin
PF17123,5,5,RING-like zinc finger
PF07915,2,2,Glucosidase II beta subunit-like protein
PF13015,1,1,Glucosidase II beta subunit-like protein
PF13324,1,1,Grap2 and cyclin-D-interacting
PF01253,3,3,Translation initiation factor SUI1
PF02636,2,1,Putative S-adenosyl-L-methionine-dependent methyltransferase
PF00564,3,4,PB1 domain
